Vehicle Name,URL,Wheel Base,Ground Clearance,Overall Width,Overall Height,Overall Length
Tata Ultra 1412,https://trucksfloor.com/en/tata-truck/ultra-1412,3920 / 4920 mm,225 mm,2440 mm,2605 / 3055 mm,7290 mm
Tata 1412 LPT,https://trucksfloor.com/en/tata-truck/1412-lpt,3600 / 4830 mm,225 mm,2175 mm,1835 mm,5400 mm
Tata 1512 LPT,https://trucksfloor.com/en/tata-truck/1512-lpt,4200 / 4830 mm,225 mm,2475 mm,2165 mm,6300 mm
Tata 1815 LPT,https://trucksfloor.com/en/tata-truck/1815-lpt,4200 / 4800 mm,225 mm,2325 mm,3230 mm,7995 mm
Tata 1816 LPT,https://trucksfloor.com/en/tata-truck/1816-lpt,4530 / 5300 mm,235 mm,2440 mm,2700 / 3200 mm,8270 mm
Tata 610 SFC,https://trucksfloor.com/en/tata-truck/610-sfc,3305 mm,249 mm,1905 / 2100 mm,2300 / 2850 mm,5405 mm
Tata 710 SFC,https://trucksfloor.com/en/tata-truck/710-sfc,3800 mm,,2086 / 2255 mm,2290 / 2850 mm,6079 mm
Tata Ultra T.12,https://trucksfloor.com/en/tata-truck/ultra-t-12,4530 mm,189 mm,2205 / 2255 mm,2470 / 2930 mm,8205 mm
Tata Ultra T.12g,https://trucksfloor.com/en/tata-truck/ultra-t-12g,4530 mm,189 mm,2255 mm,2933 mm,8930 mm
Tata Ultra T.16,https://trucksfloor.com/en/tata-truck/ultra-t-16,3920 / 5300 mm,235 mm,2440 mm,2605 / 3100 mm,7355 mm
Tata Ultra T.18,https://trucksfloor.com/en/tata-truck/ultra-t-18,4920 / 5560 mm,256 mm,2440 mm,2632 / 3145 mm,8915 mm
Tata Winger Cargo,https://trucksfloor.com/en/tata-truck/winger-cargo,3488 mm,180 mm,1905 mm,2460 mm,5458 mm
Tata Ultra Sleek T.9,https://trucksfloor.com/en/tata-truck/ultra-sleek-t-9,3350 / 4530 mm,197 mm,2100 mm,2680 mm,7346 mm
Tata Ultra T.16 SL,https://trucksfloor.com/en/tata-truck/ultra-t-16-sl,4920 / 6800 mm,228 mm,2440 mm,2632 / 3084 mm,8570 mm
Tata Ultra T.16 SL AMT,https://trucksfloor.com/en/tata-truck/ultra-t-16-sl-amt,5300 mm,228 mm,2440 mm,2630 mm,9850 mm
Tata 510 LPT,https://trucksfloor.com/en/tata-truck/510-lpt,2775 mm,189 mm,2255 mm,2326 mm,5215 mm
Tata Signa 3525.K/TK,https://trucksfloor.com/en/tata-truck/3525-k-tk-signa,5580 mm,250 mm,2510 mm,2961 mm,8446 mm
Tata 1916 LPT,https://trucksfloor.com/en/tata-truck/1916-lpt,5300 mm,,2425 mm,3200 mm,9600 mm
Ashok Leyland Dost +,https://trucksfloor.com/en/ashok-leyland-truck/dost-plus,2510 mm,190 mm,1620 mm,1930 mm,4630 mm
Ashok Leyland Dost CNG,https://trucksfloor.com/en/ashok-leyland-truck/dost-cng,2350 mm,177 mm,1620 mm,1845 mm,4485 mm
Ashok Leyland Partner 4 Tyre,https://trucksfloor.com/en/ashok-leyland-truck/partner-4-tyre,2685 / 3335 mm,238 mm,1960 mm,2250 / 2815 mm,4920 mm
Ashok Leyland Bada Dost CNG,https://trucksfloor.com/en/ashok-leyland-truck/bada-dost-cng,2510 mm,195 mm,1842 mm,2056 mm,4868 mm
Ashok Leyland Bada Dost i3+,https://trucksfloor.com/en/ashok-leyland-truck/bada-dost-i3-plus,2590 mm,206 mm,1842 mm,2061 mm,5025 mm
Ashok Leyland Bada Dost i4 with LNT,https://trucksfloor.com/en/ashok-leyland-truck/bada-dost-i4-with-lnt,2590 mm,206 mm,1842 mm,2061 mm,5025 mm
Ashok Leyland Bada Dost i5,https://trucksfloor.com/en/ashok-leyland-truck/bada-dost-i5,2590 mm,206 mm,1842 mm,2061 mm,5025 mm
Ashok Leyland Dost LiTE,https://trucksfloor.com/en/ashok-leyland-truck/dost-lite,2350 mm,177 mm,1620 mm,1835 mm,4485 mm
Ashok Leyland Dost Strong,https://trucksfloor.com/en/ashok-leyland-truck/dost-strong,2350 mm,177 mm,1670 mm,1845 mm,4485 mm
Ashok Leyland Dost XL,https://trucksfloor.com/en/ashok-leyland-truck/dost-xl,2350 mm,177 mm,1670 mm,1860 mm,4630 mm
Ashok Leyland Bada Dost i3+ with LNT,https://trucksfloor.com/en/ashok-leyland-truck/bada-dost-i3-plus-with-lnt,2590 mm,206 mm,1842 mm,2061 mm,5025 mm
Ashok Leyland Bada Dost i4,https://trucksfloor.com/en/ashok-leyland-truck/bada-dost-i4,2590 mm,206 mm,1842 mm,2061 mm,5025 mm
Ashok Leyland Dost + CNG,https://trucksfloor.com/en/ashok-leyland-truck/dost-plus-cng,2510 mm,200 mm,1670 mm,1930 mm,4630 mm
Ashok Leyland Partner 6 Tyre,https://trucksfloor.com/en/ashok-leyland-truck/partner-6-tyre,2820 / 3320 mm,221 mm,2060 mm,2240 / 2830 / 2832 mm,5170 mm
Ashok Leyland Bada Dost i2,https://trucksfloor.com/en/ashok-leyland-truck/bada-dost-i2,2510 mm,206 mm,1842 mm,2056 mm,4818 mm
Ashok leyland Saathi,https://trucksfloor.com/en/ashok-leyland-truck/saathi,2250 mm,,1663 mm,1833 mm,4406 mm
Ashok Leyland ecomet 1015 TE Tipper,https://trucksfloor.com/en/ashok-leyland-truck/ecomet-1015-te,2850 mm,215 mm,2207 / 2280 mm,2700 / 3000 mm,5332 mm
Ashok Leyland ecomet 1215 TE,https://trucksfloor.com/en/ashok-leyland-truck/ecomet-1215-te,2850 / 3250 mm,232 / 215 mm,2207 / 2280 mm,2700 / 3000 mm,5332 mm
Ashok Leyland ecomet STAR 1815+,https://trucksfloor.com/en/ashok-leyland-truck/ecomet-star-1815-plus,,215 mm,2264 mm,2670 mm,7315 mm
Ashok Leyland ecomet STAR 1915 HE,https://trucksfloor.com/en/ashok-leyland-truck/ecomet-star-1915-he,,215 mm,2264 mm,2670 mm,7315 mm
Ashok Leyland Boss 1115,https://trucksfloor.com/en/ashok-leyland-truck/boss-1115,3400 / 3900 / 4500 / 4900 mm,260 mm,2210 / 2270 mm,2495 mm,6422 mm
Ashok Leyland Boss 1115 TB Tipper,https://trucksfloor.com/en/ashok-leyland-truck/boss-1115-tb,2990 mm,188 mm,2200 mm,2579 / 1019 mm,5598 mm
